address,establishment,lon,lat
"ul. Szańcowa 25, Warszawa","Polska Agencja Rozwiązywania Problemów Alkoholowych,",20.9319654,52.2396076
"ul. Wspólna 30, Warszawa","Ministerstwo Rolnictwa i Rozwoju Wsi,",21.1907462,52.2472974
"ul. Wspólna 30A, Warszawa","Ministerstwo Rolnictwa i Rozwoju Wsi,",21.1907462,52.2472974
"ul. Marcina Flisa 2, Warszawa","Urząd Lotnictwa Cywilnego,",20.952825,52.1909318
"ul. Miłobędzka 24, Warszawa","Agencja Wywiadu,",20.9927739,52.1965523
"ul. Wiejska 10, Warszawa","Kancelaria Prezydenta RP,",21.0263867,52.2261624
"ul. Krakowskie Przedmieście 46/48, Warszawa","Kancelaria Prezydenta RP,",21.016586,52.2431233
"ul. Podchorążych 38, Warszawa","Komenda Główna Państwowej Straży Pożarnej,",21.0395864,52.20983690000001
"ul. Domaniewska 36/38, Warszawa","Komenda Główna Państwowej Straży Pożarnej,",21.0062852,52.1836268
"ul. Senatorska 14, Warszawa","Ministerstwo Sportu i Turystyki,",21.0101848,52.2447384
"ul. Krucza 38/42, Warszawa","Ministerstwo Sportu i Turystyki,",21.01747,52.22929
"ul. Chałubińskiego 4/6, Warszawa","Ministerstwo Infrastruktury,",21.0047986,52.2237328
"ul. Tytusa Chałubińskiego 8, Warszawa","Ministerstwo Infrastruktury,",21.00398,52.226026
"Wiejska 6, Warszawa","Kancelaria Senatu RP,",20.9044346,52.19133249999999
"ul. Szczotkarska 42, Warszawa","Polskie Centrum Akredytacji,",20.9162695,52.22289900000001
"ul. Wieżowa 8, Warszawa","Polska Agencja Żeglugi Powietrznej,",20.9590584,52.1619226
"ul. Chocimska 6, Warszawa","Biuro Rzecznika Praw Dziecka,",21.0240132,52.2083794
"Rakowiecka 2D, Warszawa","Naczelna Dyrekcja Archiwów Państwowych,",21.0152633,52.210704
"ul. Chałubińskiego 8, Warszawa","Polska Organizacja Turystyczna,",21.00398,52.226026
"ul. Wspólna 2/4, Warszawa","Ministerstwo Rozwoju Regionalnego,",21.1810758,52.2454083
"ul. Chałubińskiego 4/6, Warszawa","Ministerstwo Rozwoju Regionalnego,",21.0047986,52.2237328
"ul. Wawelska 52/54, Warszawa","Ministerstwo Środowiska,",20.99128,52.2167629
"ul. Krucza 5/11, Warszawa","Ministerstwo Środowiska,",21.0191113,52.2245234
"Gabriela Piotra Boduena 3/5, Warszawa","Naczelny Sąd Administracyjny,",21.0128449,52.23361149999999
"Jasna 6, Warszawa","Naczelny Sąd Administracyjny,",21.0124322,52.2338202
"ul. Wspólna 30, Warszawa","Inspekcja Jakości Handlowej Artykułów Rolno-Spożywczych,",21.1907462,52.2472974
"al. Niepodległości 208, Warszawa","Główny Urząd Statystyczny,",21.0059449,52.2168606
"ul. Wspólna 2, Warszawa","Główny Urząd Statystyczny,",21.1823651,52.24550379999999
"ul. Wołoska 7, Warszawa","Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu,",21.0009496,52.1821192
"ul. Towarowa 28, Warszawa","Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu,",20.9846076,52.23143400000001
"ul. Świętokrzyska 12, Warszawa","Służba Celna Rzeczypospolitej Polskiej,",21.0159144,52.2377427
"ul. Erazma Ciołka 14A, Warszawa","Służba Celna Rzeczypospolitej Polskiej,",20.945764,52.24308019999999
"Wspólna 2/4, Warszawa","Urząd do Spraw Kombatantów i Osób Represjonowanych,",21.020316,52.2286853
"ul. Targowa 65, Warszawa","Główny Inspektorat Sanitarny,",21.035787,52.25324
"ul. Długa 38/40, Warszawa","Główny Inspektorat Sanitarny,",21.0039553,52.2471153
"ul. Wawelska 52/54, Warszawa","Główny Inspektorat Ochrony Środowiska,",20.99128,52.2167629
"ul. Bitwy Warszawskiej 1920 r. nr 3, Warszawa","Główny Inspektorat Ochrony Środowiska,",20.9736625,52.2117066
"ul. Grójecka 186, Warszawa","Narodowy Fundusz Zdrowia,",20.9671611,52.2015608
"ul. Chałubińskiego 8, Warszawa","Narodowy Fundusz Zdrowia,",21.00398,52.226026
"ul. Karowa 10, Warszawa","Biuro Bezpieczeństwa Narodowego,",21.0187113,52.2436144
"ul. Królewska 1/7, Warszawa","Biuro Bezpieczeństwa Narodowego,",21.0146849,52.2404145
"Al. Niepodległości 188/192, Warszawa","Urząd Patentowy Rzeczypospolitej Polskiej,",21.0072166,52.2124657
"ul. Prosta 69, Warszawa","Główny Inspektorat Transportu Drogowego,",20.9830269,52.2292122
"ul. Przyczółkowa 109A, Warszawa","Główny Inspektorat Transportu Drogowego,",21.0995077,52.1315631
"Plac Trzech Krzyży 3/5, Warszawa","Urząd Komitetu Integracji Europejskiej,",21.0216917,52.2285192
"Al. Ujazdowskie 9, Warszawa","Urząd Komitetu Integracji Europejskiej,",21.0246777,52.21742190000001
"ul. Świętokrzyska 14, Warszawa","Polski Komitet Normalizacyjny,",21.014484,52.23667769999999
"ul. Miodowa 15, Warszawa","Ministerstwo Zdrowia,",21.008942,52.2473831
"ul. Długa 38/40, Warszawa","Ministerstwo Zdrowia,",21.0039553,52.2471153
